"","ac
        type","cn / ln","date","fatalities","flight #","ground","location","operator","registration","route","summary","time"
"3503","de Havilland Canada DHC-7-102","028","May 06, 1988","36   (passengers:33  crew:3)","710","0","Near Broennoysund, Norway","Wideroe's Flyveselksap","LN-WFN","Namsos - Bronnoysund","Crashed into a hillside during approach in foggy weather. The crew started the approach to 4NM too early. Navigation error. Pilot error.","2229"
"3504","Boeing B-737-3T0","23838","May 24, 1988","0   (passengers:0  crew:0)","?","0","New Orleans, Louisiana","TACA","N75356","Belize City, Belize - New Orleans, LA","The aircraft encountered heavy rain and hail which resulted in flame-out of both engines. Attempts to restart engines were unsuccessful. The aircraft landed safely in a grassy field between a drainage ditch and levee with no power. Water ingestion due to heavy rain from a level 4 thunderstorm caused failure of both engines. A contributing cause of the incident was the inadequate design of the engines and the FAA water ingestion certification standards which did not reflect the waterfall rates that can be expected in moderate or higher intensity thunderstorms.","1255"
"3505","Douglas DC-6","?","May 26, 1988","6   (passengers:0  crew:6)","?","0","Puerto Limon, Costa Rica","Aeronica","YN-CBE","?","The cargo plane crashed.","?"
"3506","Fokker F-27 Friendship 600","10443","May 26, 1988","2   (passengers:0  crew:2)","?","0","Hannover, Germany","Starair","OY-APE","Billund - Hannover - Nurnberg","While landing the cargo plane pitched up for a go-around causing cargo to shift and the plane to lose control and crash.","2225"
"3507","McDonnell Douglas MD-81","48050/989","June 12, 1988","22   (passengers:16  crew:6)","?","0","Posadas, Argentina","Austral Lineas Aeras (Argentina)","N1003G","Resistencia - Posadas","The airliner crashed 3 miles short of the runway in poor visibility. Crew's overconfidence and  incorrect in-flight planning.","0923"
"3508","Mil Mi-8 (helicopter)","?","June 18, 1988","21   (passengers:?  crew:?)","?","0","Central Mozambique","Military - Mozambique Air Force","?","?","?","?"
"3509","Airbus A320-111","009","June 26, 1988","3   (passengers:3  crew:0)","296Q","0","Habsheim, France","Air France","F-GFKC","Basel - Basel","The plane was scheduled to perform a series of fly-bys at an air show. The plane was to descend to 100 ft. altitude with landing gear and flaps extended. The automatic go-around protection (Alpha Floor Function) was inhibited for the maneuver. During the maneuver, the plane descended thru 100 ft. to an altitude of 30 feet and hit trees at the end of the runway. The aircraft was totally destroyed by the successive impacts and violent fire which followed. The pilot allowed the aircraft to descend through 100 ft. at slow speed and maximum angle of attack and was late in applying go-around power. Unfamiliarity of the crew with the landing field and lack of planning for the flyby.","1445"
"3510","Airbus A300B2-203","186","July 03, 1988","290   (passengers:278  crew:12)","655","0","Over the Persian Gulf, near Bandar Abbas, Iran","Iran Air","EP-IBU","Bandar Abbas - Dubai","The civilian Iranian airliner was shot down by the U.S. Navy vessel U.S.S. Vincennes with surface-to-air missiles. The Vincennes was protecting other civilian ships in the area from Iranian gunboats. The Vincennes responded to hostile action taking place against a ship by Iranian gun boats. However, orders to the captain were to send a helicopter to investigate but maintain position. In fact, the ship headed towards the hostilities and penetrated 2nm inside Iranian territorial waters and after the helicopter was fired upon, engaged the enemy boats. The ill-fated airliner was delayed in leaving Bandar Abbas because of a problem with the passport of a passenger. Soon after taking off the target appeared on the radar of the Vincennes. Because the plane was late and confusion of time zones, the crew was not expecting an airliner in the area. When the target was first identified, it squawked both 2 (military) and 3 (civilian). The reason for this was the radar tracker ball was left in the vicinity of the Bandar Abbas airport and the radar was picking up both the airliner and a military F-14 jet fighter at the same time. Playing it safe, the plane was misidentified as a F-14 Iranian fighter. The aircraft did not respond to 10 radio challenges from the Vincennes. However, 7 were on military frequencies which the airliner could not pick up. Three were on the civil emergency frequency addressed to the so called military F-14. When the plane was nearing 10 miles from the ship, it was reported to the captain that the aircraft was descending. At that time the surface-to-air missiles were fired destroying the aircraft. At the inquiry computer data showed that the plane was never descending and actually was ascending at a steady rate. Incredibly, a military investigation concluded that although the U.S. government regretted the loss of human life, the captain and crew were not at fault and acted properly in shooting down the airliner.","1055"
"3511","Canadair CL-44J","39","July 06, 1988","8   (passengers:0  crew:8)","?","0","Barranquilla, Colombia","Lineas Aéreas Suramericanas","HK-3148","Barranquilla - Miami","Shortly after taking off the crew of the cargo plane experienced failure of the No. 4 engine and a fire. While attemping to return to the airport control was lost and the plane crashed.","1600"
"3512","Douglas C-118A","44615/541","July 20, 1988","3   (passengers:0  crew:3)","?","0","Golden Meadow, Louisiana","TACA","N33VX","El Salvador - New Orleans","The cargo plane ran out of fuel and crashed into a dirt bank . Fuel starvaion. Open drain valve inside the No. 4 engine led to the loss of fuel.","1925"
"3513","Boeing 707-328C","18881/436","July 21, 1988","6   (passengers:0  crew:6)","?","0","Near Lagos, Nigeria","Angola Air Charter","D2-TOV","Oostende, Belgium - Lagos, Nigeria","Crashed on approach.","?"
"3514","Yakovlev YAK-40","9620247","August 02, 1988","29   (passengers:26  crew:3)","?","0","Sofia, Bulgaria","Balkan Bulgarian Airlines","LZ-DOK","Sofia  - Varna","Crashed on takeoff from Sophia airport en route to Varna. Possible crew error. The stabilizer was set in the full ""Down"" position, instead it was supposed to be set between 2.5-3 degrees in ""the Up"" position.","?"
"3515","Antonov AN-22","?","August 15, 1988","39   (passengers:35  crew:4)","?","0","Northern Afghanistan","Military - Afghan Republican Air Force","?","Kaboul-Kunduz","Shot down by a surface-to-air missile.","?"
"3516","Lockheed C-130B Hercules","3708","August 17, 1988","30   (passengers:?  crew:?)","?","0","Bahawalpur, Pakistan","Military - Pakistan Air Force","23494","Bahawalpur - Islamabad","Crashed shortly after taking off from Bahawalpur 60 miles near the Indian border. Act of sabotage. Detonation of a low level explosive device or incapacitating gas. U.S. Ambassador to Pakistan, Arnold Raphel, 45, and Muhammad Zia ul-Haq 64, killed. A recent report states that the accident was caused by the failure of the elevator control system due to a mechanical failure.","1630"
"3517","Let 410MU","770801","August 26, 1988","4   (passengers:2  crew:2)","?","0","Irkutsk, Russia","Aeroflot","CCCP-67235","Kirensk - Irkutsk","The crew failed to set the altimeters to the proper setting while landing. The plane descended until it contacted trees, broke up and caught fire. Crew fatigue was a factor.","2320"
"3518","Convair CV-240","229","August 31, 1988","1   (passengers:?  crew:?)","?","0","Merida, Mexico","Aerocaribe","XA-HUL","?","Crashed while taking off.","?"
"3519","Hawker Siddeley HS-121 Trident 2E","2159","August 31, 1988","7   (passengers:1  crew:6)","301","0","Kowloon Bay, Hong Kong","CAAC","B-2218","Guangzhou - Hong Kong","The right outboard flap of the plane hit the approach lights of Runway 31. The right main landing gear collapsed and the aircraft ran off the runway into the harbor.","0919"
"3520","Boeing B-727-232 Adv","20750/992","August 31, 1988","14   (passengers:12  crew:2)","1141","0","Dallas, Texas","Delta Air Lines","N473DA","Dallas/Fort Worth, TX - Salt Lake City, UT","The aircraft stalled and crashed during takeoff, hitting a ILS localizer antenna, 1,000 feet beyond the end of the runway. Crew error. Improperly set flaps and slats. Failure of the takeoff safety warning system.","0901"
"3521","Embraer 110P1 Bandeirante","110-192","August 31, 1988","20   (passengers:18  crew:2)","?","0","Cerro de la Calera, Mexico","Transporte Aereo Federal","XC-COX","Uruapan - Lazro","The plane disappeared after taking off from Uruapan. Wreckage was found in the western Sierre Madre mountains.","1000"
"3522","Tupolev TU-134A","60925","September 09, 1988","76   (passengers:73  crew:3)","831","0","Bangkok, Thailand","Hang Khong (Vietnam)","VN-A102","Hanoi - Bangkok","The aircraft crashed during approach in heavy rain and thunderstorms short of the runway. The crew descended below minimum altitude while over the outer marker. The plane lost height due to a microburst induced windshear when passing under a thunderstorm on final.","1138"
"3523","Lockheed L-188A Electra","1052","September 12, 1988","7   (passengers:1  crew:6)","?","0","Lago Agrio, Ecuador","TAME Ecuador","HC-AZY","Lago Agrio - Quito","The positioning flight took off with one bad engine. Another engine failed and the plane crashed and burst into flames.","1430"
"3524","Boeing B-737-230","23914/1456","September 15, 1988","35   (passengers:35  crew:0)","604","0","Bahar Dar, Ethiopia","Ethiopian Airlines","ET-AJA","Bahar Dar - Asmara","During takeoff, the aircraft ingested numerous pigeons into both engines. One engine lost thrust almost immediately and the second lost thrust during the emergency return to the airport. The aircraft crashed while trying to land. Engine failure due to ingestion of 10-16 Columba Guinea birds.","1305"
"3525","Antonov AN-26","?","September 19, 1988","34   (passengers:?  crew:?)","?","0","Near Miram, Pakistan","Military - Afghan Republican Air Force","?","?","Accidentally shot down by Pakistani anti-aircraft fire after straying out of Afghan air space.","2030"
"3526","Beech King Air F90","LA-093","October 02, 1988","8   (passengers:7  crew:1)","?","0","Sao Pedro da Aldeia, Brazil","Aramar","PT-LJR","?","?","?"
"3527","Antonov 12BP","401712","October 04, 1988","6   (passengers:0  crew:6)","?","0","Near Batagay, Russia","Aeroflot","CCCP-11418","Tikis - Batagay","The cargo flight crew decided on a visual approach, ignored the GPWS warning and flew into a mountain.","2300"
"3528","Ilyushin IL-14P","6341406","October 07, 1988","44   (passengers:40  crew:4)","?","2","Linfen, China","Shanxi Airlines","B-4218","Sightseeing","The sightseeing  plane crashed into a hotel shortly after takeoff. The left engine had failed following a fatigue fracture in the engine's oil pump drive shaft.","1321"
"3529","Boeing KC-135A","18092/431","October 11, 1988","6   (passengers:0  crew:6)","?","0","Wurtsmith AFB, Michigan","Military - U.S. Air Force","60-0317","Sawyer AFB - Wurtsmith AFB","Crashed after returning from Sawyer AFB in Michigan.","1420"
"3530","Boeing B-707-338C","19630/746","October 17, 1988","33   (passengers:26  crew:7)","775","0","Rome, Italy","Uganda Airlines","5X-UBC","London - Rome","Undershot runway and hit  a building while performing a third landing attempt in fog. The crew's lack of adequate preparation in the procedure for a non-precision approach, especially in crew coordination, altitude callouts and their continued descent beyond MDA without having located the runway visual markings. Crew fatigue.","0030"
"3531","Boeing B-737-2A8","20481/271","October 19, 1988","124   (passengers:119  crew:5)","113","0","Near Ahmedabad, India","Indian Airlines","VT-EAH","Bombay - Ahmadabad","The plane hit an electrical mast, 5 miles short of runway during an approach in fog and burst into flames. Error on the part of pilot-in-command as well as co-pilot due to non adherence to procedures under poor visibility conditions.","0700"
"3532","Fokker F-27 Friendship 100","10173","October 19, 1988","34   (passengers:31  crew:3)","?","0","Gauhati, India","Vayudoot","VT-DMC","Silchar - Gauhati","Crashed short of the runway. Controlled flight into terrain.","0830"
"3533","Fokker F-28 Fellowship 1000","11059","October 25, 1988","12   (passengers:11  crew:1)","?","0","Juliaca, Peru","Aero Peru","OB-R-1020","Juliaca - Arequipa","Crashed shortly after taking off from Manco Capac airport at Juliaca. The pilot tried to return to the runway but crashed in a high nose-up attitude into a pasture. The plane broke in two and burst into flames.","1053"
"3534","Antonov AN-24B","67302209","November 02, 1988","1   (passengers:1  crew:0)","703","0","Near Rzeszow, Poland","LOT Polish Airlines","SP-LTD","Warszawa - Rzeszow","The plane attempted to make an emergency landing due to engine failure, struck a ditch and caught fire.","?"
"3535","Embraer 110P1 Bandeirante","110226","November 14, 1988","6   (passengers:4  crew:2)","?","0","Ilmajoki, Finland","Wasa Wings","OH-EBA","Helsink - Ilmajoki","The aircraft struck trees 2,400 feet next to the runway while approaching in deteriorating weather conditions. A power failure caused all light to go out at the airport.","0714"
"3536","Swearingen SA-226TC Metro II","TC-334E","November 18, 1988","4   (passengers:2  crew:2)","440","0","Montluçon, France","Air Littoral","F-GCPG","Montluçon - Paris","While taking off the nose pitched down the plane descended and crashed to the ground and caught fire. Inadvertent activation of the Stall Avoidance System resulting in the stick pusher activation at a crucial altitude.","0630"
"3537","de Havilland Canada DHC-6 Twin Otter 300","670","November 30, 1988","14   (passengers:12  crew:2)","?","0","Hamada al Hambra, Libya","Aero Club Libya","5A-DDD","Hamada al Hambra - Tripoli","While attempting to land in mist and poor visibility the aircraft hit a  pylon and burned. VFR flight in IMC","0720"
"3538","Let 410UVP","790323","December 07, 1988","6   (passengers:4  crew:2)","?","0","Kodinsk, Russia","Aeroflot","CCCP-67127","Krasnoyarsk - Kodinsk","The aircraft struck the ground while the crew was in the base leg turn. Crew procedural errors. The radio altimeter warning was not set and the outer marker was not used during the approach.","1933"
"3539","Douglas DC-7CF","45203/776","December 08, 1988","5   (passengers:0  crew:5)","?","0","Bîr Mogreïn, Mauritania","T & G Aviation","N284","Dakar - Agadir","Accidently struck by a surface-to-air missile by the Polisario.","?"
"3540","Antonov AN-32","?","December 10, 1988","25   (passengers:?  crew:?)","?","0","Afghanistan","Military - Afghan Republican Air Force","?","Kabul - Khost","Shot down by a Pakistani jet fighter while en route.","2000"
"3541","Ilyushin IL-76 / Mi-8 (helicopter)","083413388","December 11, 1988","77   (passengers:68  crew:9)","?","0","Leninakan, Armenia, USSR","Military - Russian Air Force / Military - Russian Air Force","CCCP-86732","?","A midair collision occurred between a soviet transport on an earthquake relief mission and a military Mi-8 helicopter.  As the transport approached for a landing in the darkness it struck the helicocopter.  Seventy-seven of 78 aboard the transport were killed. All five aboard the Mi-8 survived. The crew had used an incorrect altimeter setting.","?"
"3542","Boeing B-707-321C","19168/508","December 14, 1988","8   (passengers:5  crew:3)","?","5","Near Luxor, Egypt","GAS Air","5N-AYJ","Dar-es-Salaam - Cairo","After 2 missed approaches at Cairo the plane diverted to Luxor but crashed into a residential neighborhood while attempting to land. Forced landing. Fuel exhaustion.","2150"
"3543","Boeing B-747-121A","19646/15","December 21, 1988","259   (passengers:243  crew:16)","103","11","Lockerbie, Scotland","Pan American World Airways","N739PA","London - New York City","The airliner disappeared from radar shortly after leveling off at FL 310 while on a flight from Heathrow Airport, London,  to New York. The aircraft broke up with two main sections of wreckage coming down in the town of Lockerbie. Detonation of an explosive device in the forward cargo area planted by terrorists.  Musician Paul Jeffreys killed. The aircraft was named ""Clipper Maid of the Seas.""","1903"
"3544","Boeing B-737-4Y0","23867/1603","January 08, 1989","47   (passengers:47  crew:0)","92","0","Leicestershire, England","British Midland Airways","G-OBME","London - Belfast","While en route and climbing through FL 280, a vibration was felt and the smell of smoke was detected.  A fan blade on the No. 1 engine detached and caused a compressor stall and vibration of the aircraft. The crew throttled back the No. 2 engine and the vibration stopped. Soon after it was decided to shut down the No. 2 engine. While attempting to land, power was lost in the No. 1 engine, the aircraft stalled and crashed into trees 3,000 ft. short of the runway. The crew mistakenly shut down the wrong engine, lost power in the disabled engine and was unable to maintain flight in the final approach.","2025"
"3545","Boeing KC-135A","18607/646","January 31, 1989","19   (passengers:12  crew:7)","?","0","Near Abilene, Texas","Military - U.S. Air Force","63-7990","Dyess AFB - Hawaii","Crashed in flames after taking off from Dyess Air Force Base. Failure of the water injection system during takeoff.","1210"
"3546","Fokker F-27 Friendship 600","10325","February 03, 1989","26   (passengers:23  crew:3)","?","0","Rangoon, Myanmar","Burma Airways","XY-AEK","Rangoon - Kentung","The aircraft entered a fog bank after taking off from Rangoon and hit a tree and caught fire.","0741"
"3547","Vickers 952F Vanguard","730","February 06, 1989","3   (passengers:0  crew:3)","3132","0","Marseille, France","RAM","F-GEJE","Marseille - Paris","After a second takeoff attempt the cargo plane banked to the right until it crashed into the water.","1825"
"3548","Boeing B-707-331B","19572/687","February 08, 1989","144   (passengers:137  crew:7)","1851","0","Santa Maria, Azores, Portugal","Independent Air Inc.","N7231T","Bergamo - Orio al Serio - Santa Maria","The airliner hit a mountain while attempting to land at Santa Maria. The crew mistakenly continued to descend through 3,000 ft. which it was cleared to. Because of a overlap in communications, the tower did not notice the mistake. The aircraft continued to descend and did not comment or react to warnings from the GPSW for 7 seconds. The aircraft then hit Pico Alto mountain at an altitude of 2,000 ft.  Procedural errors by the flight crew and ATC. Descent of the aircraft below minimum sector altitude. Transmission from the tower of a QNH value higher than the actual value.","1408"
"3549","Boeing 747-249F","21828/408","February 19, 1989","4   (passengers:0  crew:4)","66","0","Near Kuala Lumpur, Malaysia","Flying Tiger Line","N807FT","Singapore - Kuala Lumpur","The cargo plane descended below minimums and impacted trees and a hill. Non-standard phraseology used by Kuala Lumpur ATC, causing the crew to misinterpret the instructions.","0636"
"3550","Boeing B-747-122","19875/89","February 24, 1989","9   (passengers:9  crew:0)","811","0","Honolulu, Hawaii","United Air Lines","N4713U","Los Angeles - Honolulu - Auckland - Sydney","After leaving Honolulu, on a flight from Los Angeles to Sydney, Australia, the loss of an improperly latched forward lower lobe cargo door resulted in explosive decompression and loss of power in the No. 3 and 4 engines. Nine passengers were sucked out of the plane and lost at sea. The plane landed safely. The cargo door opening was attributed to a faulty switch or wiring in the door control system which permitted electrical actuation of the door latches towards the unlatched position after initial door closure and before takeoff. As a failsafe, the latches should have been blocked from moving by a mechanism called a ""locking sector"" (one on each latch), engaged manually by a lever after the door is closed.  However, the locking sectors as designed were not strong enough and could be overcome by the motors which was a design flaw right from the introduction of the747.  This was finally recognized as serious, after a non-fatal failure in 1987, but installing stronger locking sectors required taking each plane out of service 10 hours, and the FAA had allowed airlines 18 months so they could do it during other maintenance procedures.","0209"
"3551","Douglas C-47A","25290","February 28, 1989","2   (passengers:0  crew:2)","?","0","Near Quebec City, Quebec, Canada","Transfair","C-FBZN","La Grande - Lac Bienville","The cargo plane crashed after its initial climb. Icing.","0633"
"3552","Britten Norman BN-2A Trislander","0604","March 10, 1989","10   (passengers:9  crew:1)","?","0","Lima, Peru","Aero Condor","OB-T-1271","Sightseeing","Crashed after striking radio tower while on approach.","?"
"3553","Fokker F-28 Fellowship 1000","11060","March 10, 1989","24   (passengers:21  crew:3)","1363","0","Dryden, Ontario, Canada","Air Ontario","C-FONF","Dryden - Winnipeg","While flying from Thunder Bay, Ontario to Winnipeg, Manitoba, the plane crashed on take-off from Dryden, Ontario. The aircraft failed to gain altitude, settled back down on the runway and then took off for a second time clipping the tops of  trees, causing debris to clog the engines leading to the plane crashing. The aircraft was being refueled with one engine running because of an unserviceable APU. Since no external power unit was available at the airport the engine could not be shut down and deicing could not be performed. The captain's decision to take off  in deteriorating weather conditions with an accumulation of snow and ice on the wings.  Decision not to de-ice the plane before taking off. The failure of the Canadian air transport system in placing the crew in a situation where they did not have the resources to make a proper decision.","1209"
"3554","NAMC YS-11A-300F","2139","March 15, 1989","2   (passengers:0  crew:2)","?","0","West Lafayette, Indiana","Mid Pacific Air","N128MP","Terre Haute - Lafayette","While landing the cargo plane pitched down and crashed short of the runway. A loss of control due to the improper in-flight decisions by the crew and the undetected accumulation of ice on the leading edge of the horizontal stabilizer, during flight in a forward centre of gravity condition and exacerbated by the extension of full landing flaps.","0725"
"3555","McDonnell Douglas DC-9-33RC","47192/287","March 18, 1989","2   (passengers:0  crew:2)","?","0","Carswell AFB, Texas","Evergreen International Airlines","N931F","Fort Worth, TX - Oklahoma City, OK","The loss of control of the airplane for undetermined reasons following the in-flight opening of the improperly latched cargo door. Contributing to the accident were inadequate procedures used by Evergreen Airlines and approved by the FAA for pre-flight verification of external cargo door lock pin manual control handle, and the failure of McDonnell Douglas to provide flight crew guidance and emergency procedures for an in-flight opening of the cargo door. Also contributing to the accident was the failure of the FAA to mandate modification to the door-open warning system for DC-9 cargo-configured airplanes, given the previously known occurrences of in-flight door openings.","0215"
"3556","Sikorsky CH-53D","?","March 20, 1989","19   (passengers:?  crew:?)","?","0","Pohang, South Korea","Military - U.S. Marine Corps","157140","?","Crashed and burned in mountainous terrain during a troop lift mission. Came in for a landing at an extreme high bank until it crashed to the ground. Pilot error.","c 07:00"
"3557","Boeing B-707-349C","19354/503","March 21, 1989","3   (passengers:0  crew:3)","?","18","Guarulhos, Brazil","Transbrasil","PT-TCS","Manaus - Sao Paulo-Guarulhos","The plane crashed into houses during a steep approach. Crew error. High speed approach. Deep stall. This was the Boeing 707 used in the movie ""Airport"" in 1970.","1155"
"3558","Fairchild FH-227B","532","April 10, 1989","22   (passengers:19  crew:3)","602","0","Col de Tourniol, France","Europe Aero Service EAS","F-GGDM","Paris - Valence","After being cleared on a heading for Valence, the aircraft continued on its current heading until it struck a mountain at 4,100 feet. Crew error. Navigational error. Controlled flight into terrain.","2107"
"3559","Pilatus PC-6 Turbo Porter","819","April 19, 1989","11   (passengers:10  crew:1)","?","0","Near Cucuta, Colombia","SATENA","FAC-1110","Cucuta - Arauca","Crashed while en route.","?"
"3560","Aérospatiale SE-210 Caravelle","215","April 26, 1989","5   (passengers:2  crew:3)","?","0","Baranquilla, Colombia","Aerosucre Colombia","HK-3325X","Baranquilla - Bogota","The cargo flight suffered the shifting of cargo after takeoff cause the plane to take a nose-high attitude, stall and crash into houses.","?"
"3561","Britten Norman BN-2A Trislander II","1051","May 05, 1989","6   (passengers:6  crew:0)","?","0","Near Cancun, Mexico","Aero Cozumel","XA-JPE","Chichen Itza - Cozumel","Crashed after the pilot radioed he was making an emergency landing with engine problems.","1430"
"3562","Beechcraft 99","U048","May 08, 1989","16   (passengers:14  crew:2)","?","0","Oskarshamn, Sweden","Holmstoem Air","SE-IZO","Stockholm - Oskarshamn","While on approach the plane pitched up, went into a steep dive and crashed short of the runway. Aircraft improperly loaded causing a shift in the center of gravity.","0940"
"3563","Bell 412","33070","May 09, 1989","10   (passengers:?  crew:?)","?","0","Near Tainjin, China","Aero Asahi","JA9596","?","?","?"
"3564","McDonnell Douglas DC-8 Super 62","46107/498","June 07, 1989","176   (passengers:167  crew:9)","764","0","Near Paramaribo, Surinam","Surinam Airways","N1809E","Paramaribo - Zanderij","The aircraft hit a tree and crashed during a third landing attempt in fog. The crew descended below the published minimum altitude. Despite concerns about possible landing equipment failures the crew was determined to make a landing and not divert to another airport as they were running out of fuel. They could not get an ILS signal and ignored a Ground Proximity Warning System alarm 60 seconds prior to the crash by turning it off 10 seconds after it started its warning. About 20 members from the Dutch soccer team ""Colorful 11"" from Surinam were killed.","0427"
"3565","de Havilland Canada DHC-6 Twin Otter 300","676","June 11, 1989","6   (passengers:6  crew:0)","?","0","Vereda el Salitre, Colombia","Aerotaca","HK-2486","El Yopal - Tame","Crashed into a mountain.","1015"
"3566","Ilyushin IL-62MK","2850324","June 17, 1989","20   (passengers:20  crew:0)","?","1","Berlin, Germany","Interflug","DDR-SEW","Berlin - Moscow","The pilot aborted the takeoff at liftoff after it was discovered the rudder and elevator were jammed. When the command was given to apply reverse thrust  the flight engineer switched off the engines by mistake. The aircraft overran runway, collided with obstacles and caught fire. Jammed rudder and elevator.","0828"
"3567","Antonov AN-26","14104","June 18, 1989","6   (passengers:6  crew:0)","?","0","Zabol, Iran","Ariana Afghan Airlines","YA-BAK","Kabul - Zaranj","A ramp door opened in flight causing loss of control of the aircraft. The plane crashed into a hill.","1320"
"3568","de Havilland Canada DHC-5D Buffalo","329","June 22, 1989","62   (passengers:57  crew:5)","?","0","Near Tarma, Peru","Fuerza Aérea del Peru","FAP-329","San Ramon - Captain Alvarino","Crashed into a mountainside in the remote Andean highlands shortly after leaving San Ramon. Overloaded.","1740"
"3569","Cessna 404 Titan Courier II","404-0418","June 27, 1989","12   (passengers:10  crew:1)","?","0","Kaohsiung, Taiwan","Formosa Airlines","B-12206","Kaohsiung - Chi-mei","Crashed into houses on takeoff and exploded.","?"
"3570","Hawker Siddeley HS-748-435 Srs. 2","1804","June 28, 1989","3   (passengers:1  crew:2)","?","0","Yaounde,  Cameroon","Cameroon Airlines","TJ-CCF","Douala - Yaounde","The plane landed short of the runway on the third landing attempt, overran the runway and collided with an embankment.","2119"
"3571","Fokker F-27 Friendship 600RF","10559","June 28, 1989","30   (passengers:24  crew:6)","?","0","Near Borana, Somalia","Somali Airlines","6O-SAZ","Hargeisa - Mogadishu","Crashed after takeoff.  Shot down by a surface-to-air missile.","0930"
"3572","Dassault Falcon 20","208","June 29, 1989","2   (passengers:0  crew:2)","?","0","Cartersville, Georgia","Calair","N125CA","Carterville, GA  - Montgomery, AL","Unable to gain altitude the positioning flight struck powerlines and crashed. Failure of the pilot-in-command  to assure that the aircraft maintained a climb profile after takeoff. Factors related to the accident were: dark night, the crew's lack of visual perception at night, the PIC's lack of rest (fatigue) and the copilot's failure to attain remedial action.","0004"
"3573","Beech E18S","?","July 19, 1989","2   (passengers:2  crew:0)","?","0","Glen Burnie, Maryland","Air Taxi - Centre Airlines Inc.","N138JR","Baltimore, MD - Winchester, VA","Shortly after departing from runway 15l at the Baltimore-Washington International Airport, the pilot transmitted that he had an emergency consisting of a fire under his side panel. He reported he was going to circle & land. According to witnesses, flames & smoke were in the cockpit area. The aircraft started a gradual descent during a left turn. Subsequently, it crashed into a house.","0717"
"3574","Antonov AN-26","8805","July 19, 1989","10   (passengers:6  crew:4)","?","0","Talourow Island, USSR","Aeroflot","CCCP-26685","Observation flight out of Cape Schmidt","Crashed into costal cliffs while on an ice observation flight.","1102"
"3575","McDonnell Douglas DC-10-10","46618/118","July 19, 1989","112   (passengers:111  crew:1)","232","0","Sioux City, Iowa","United Air Lines","N1819U","Denver, CO - Chicago, IL","Catastrophic failure of the No. 2 (rear) engine while en route from Denver to Chicago, with total loss of all three hydraulics systems due to damage. The aircraft maneuvering with only the thrust of the engines, crashed while attempting to land at Sioux City. Failure to detect a fatigue crack in the No. 2 engine resulting in the disintegration of the fan disk and loss of all three hydraulic systems. The  failure was traced back to a manufacturing defect in the fan disk, which had microscopic cracks due to impurities. Subject of the 1992 TV-movie ""Crash Landing: The Rescue of Flight 232.""","1600"
"3576","de Havilland Canada DHC-6 Twin Otter 300","366","July 21, 1989","3   (passengers:1  crew:2)","?","0","Porgera, New Guinea","Talair","P2-RDW","Porega-Port Moresby","Crashed into jungle shortly after taking off.","?"
"3577","BAC One-Eleven 516FP","231","July 21, 1989","1   (passengers:1  crew:0)","?","8","Manila, Philippines","Philippine Air Lines","RP-C1193","Zamboanga - Manila","In heavy rain the aircraft bounced twice, crashed through a concreate wall, overran the runway, crossed a road and struck several cars.","1523"
"3578","Mil Mi-8 / Mil Mi-8","?","July 23, 1989","30   (passengers:?  crew:?)","?","0","Near Jalalabad, Afghanistan","Military - Afghan Republican Air Force","?","?","Mid-air collision between two helicopters.","?"
"3579","Antonov AN-26","?","July 26, 1989","42   (passengers:?  crew:?)","?","0","Near Chana, Angola","Military - Angolan Air Force","?","Luena - Cazombo","Shot down either by rebel forces or friendly fire. A missile struck one of the engines and the plane crashed while attempting an emergency landing.","?"
"3580","Sikorsky S-58T","?","July 27, 1989","13   (passengers:?  crew:?)","?","0","Off Ullung Do, South Korea","Universal Airlines","?","?","Crashed into the sea.","?"
"3581","McDonnell Douglas DC-10-30","47887/125","July 27, 1989","75   (passengers:72  crew:3)","803","4","Tripoli, Libya","Korean Airlines","HL-7328","Jeddah - Tripoli","The aircraft crashed short of the runway while landing in fog. Failure of the captain to land without analyzing the weather data.","0700"
"3582","Convair CV-580","180","July 31, 1989","3   (passengers:0  crew:3)","1","0","Auckland, New Zealand","Air Freight New Zealand","ZK-FTB","Auckland - Christchurch","The cargo lost altitude shortly after lifting off and crashed and broke up in  Manukau Harbor. The training captain's failure to monitor the aircraft's climb flight path during the critical stage of the climb after take-off.","2200"
"3583","Shorts 330-200","SH-3083","August 03, 1989","34   (passengers:31  crew:3)","?","0","Samos, Greece","Olympic Aviation","SX-BGE","Thessaloniki - Samos","Crashed into Mt. Kerkis in poor weather after deviating from course on approach. The crew was flying VFR in IFR conditons. The aircraft was named Isle of Minos.","1343"
"3584","de Havilland DHC-6 Twin Otter 300","699","August 07, 1989","16   (passengers:13  crew:3)","?","0","Near Gambela, Ethiopia","RRC Air Service","ET-AIL","Addis Ababa - Bole","The aircraft took off from Addis Ababa to see how much food was reaching the famine-stricken area of western Ethiopia.  The plane crashed into a mountain in poor weather conditons at an altitude of  3,600 feet.  The crew flew into an area of bad weather at a very low altitude and failed to maintain visual contact with the ground.  U.S. Representative George Thomas ""Mickey"" Leland, 45, killed.","1210"
"3585","Britten-Norman BN-2A-26 Trislander","0583","August 08, 1989","10   (passengers:9  crew:1)","?","0","Near Midford Sound, New Zealand","Aspring Air","ZK-EVK","Wanaka - Milford Sound","Crashed into the face of a mountain. Undetermined.","1035"
